ThresholdHigh,MinAlpha,TotalCost
0.75,0.2,3309
0.75,0.4,3309
0.75,0.6,3309
0.75,0.8,3302
0.9,0.2,3182
0.9,0.4,3182
0.9,0.6,3182
0.9,0.8,3170
1.15,0.2,3198
1.15,0.4,3198
1.15,0.6,3198
1.15,0.8,3198
1.3,0.2,3199
1.3,0.4,3199
1.3,0.6,3199
1.3,0.8,3199
